A
1000 Generated by WorldEditor

1   4720 0 0 WA0D Dadou
100 20.17 3 0 1.60 0 0 0 1 -03.68777972  136.06290265    0    0 0 0 0 0 19 -03.68517568  136.06355471    0    0 0 0 0 0
110 3 1.60 14.0300 New Taxiway 1
111 -03.68576797  136.06347154
112 -03.68558428  136.06357265 -03.68554288  136.06359728
112 -03.68530537  136.06362852 -03.68529295  136.06363125
112 -03.68528403  136.06363565 -03.68528403  136.06363851
112 -03.68531675  136.06369269 -03.68532671  136.06370552
112 -03.68532245  136.06371978 -03.68531106  136.06370980
112 -03.68525392  136.06369620 -03.68523728  136.06369064
112 -03.68494057  136.06375733 -03.68491007  136.06376289
112 -03.68494057  136.06357671 -03.68495166  136.06345167
112 -03.68510141  136.06344055 -03.68514855  136.06342388
112 -03.68519014  136.06343778 -03.68521510  136.06343500
112 -03.68583902  136.06326272 -03.68601372  136.06321826
112 -03.68648197  136.06310581 -03.68654258  136.06309442
113 -03.68659183  136.06310391
14 -03.68531391  136.06371136   6.56 0 New Tower Viewpoint 2
1300 -03.68521171  136.06366080 280.83 gate turboprops|props New Ramp Start 1
19 -03.68525023  136.06370774 0 New Windsock 3
99
