I
850 Generated by WorldEditor 2.2.0r2

1    875 0 0 WXZ9 Acodi
1302 gui_label 2D
100 27.13 3 0 0.00 0 0 0 6 -03.37750253  138.00770557    0    0 0 0 0 0 24 -03.37593603  138.01195165    0    0 0 0 0 0
130 Airport Boundary 19
111 -03.37716325  138.00723458
111 -03.37757350  138.00713555
111 -03.37796893  138.00739302
111 -03.37785030  138.00779409
111 -03.37589295  138.01266625
111 -03.37573972  138.01270091
111 -03.37551443  138.01244536
111 -03.37724233  138.00778418
113 -03.37710888  138.00750691
99
