A
1000 Generated by WorldEditor

1    279 0 0 GVI Green River
100 30.48 4 0 0.25 0 0 0 07 -03.90358059  141.17152873    0    0 0 0 0 0 25 -03.89953741  141.18400127    0    0 0 0 0 0
110 4 0.25 340.7500 xxx
111 -03.90137727  141.17835613
111 -03.90034142  141.17799356
111 -03.90040473  141.17781187
113 -03.90144058  141.17817444
110 4 0.25 340.7500 xxx
111 -03.90035827  141.18132313
111 -03.89932242  141.18096056
111 -03.89938573  141.18077887
113 -03.90042158  141.18114144
110 4 0.25 250.7500 xxx
111 -03.89933476  141.18098165
111 -03.90041996  141.17786690
111 -03.90060124  141.17793035
113 -03.89951604  141.18104510
110 4 0.25 250.7500 xxx
111 -03.89861591  141.18130438
111 -03.89888721  141.18052569
111 -03.89966409  141.18079762
113 -03.89939279  141.18157631
14 -03.89891700  141.18076400   6.00 0 Tower Viewpoint
15 -03.89888500  141.18121000 180.00 Custom Startup Location
19 -03.89977700  141.18178500 0 Windsock
50 12770 GVI AWOS
99
